Date,Actual_Price,Predicted_Price,Lower_Conf,Upper_Conf
2017-10-09,68.74,41.68,22.83541797958722,60.52458202041278
2017-10-10,68.93,41.68,22.79699881224343,60.56300118775657
2017-10-11,69.22,41.68,22.758657653602707,60.60134234639729
2017-10-12,67.91,41.68,22.720394030404567,60.639605969595436
2017-10-13,67.52,41.68,22.682207474154524,60.677792525845476
2017-10-16,68.04,41.68,22.644097521057173,60.71590247894282
2017-10-17,66.78,41.68,22.60606371195046,60.753936288049545
2017-10-18,67.79,41.68,22.56810559224114,60.79189440775886
2017-10-19,67.45,41.68,22.530222711841375,60.829777288158624
2017-10-20,67.51,41.68,22.492414625106488,60.86758537489351
2017-10-23,66.51,41.68,22.454680890773783,60.90531910922621
2017-10-24,66.61,41.68,22.417021071902454,60.942978928097546
2017-10-25,65.4,41.68,22.379434735814563,60.98056526418544
2017-10-26,65.57,41.68,22.34192145403704,61.018078545962965
2017-10-27,67.52,41.68,22.304480802244694,61.0555191977553
2017-10-30,68.86,41.68,22.26711236020422,61.09288763979578
2017-10-31,70.12,41.68,22.22981571171915,61.130184288280844
2017-11-01,70.59,41.68,22.192590444575796,61.1674095554242
2017-11-02,70.51,41.68,22.15543615049007,61.20456384950993
2017-11-03,70.23,41.68,22.11835242505526,61.241647574944736
2017-11-06,71.71,41.68,22.081338867690658,61.27866113230934
2017-11-07,72.22,41.68,22.044395081591087,61.31560491840891
2017-11-08,71.16,41.68,22.007520673677256,61.352479326322744
2017-11-09,70.19,41.68,21.97071525454698,61.38928474545302
2017-11-10,70.55,41.68,21.933978438427186,61.42602156157281
2017-11-13,70.27,41.68,21.897309843126745,61.46269015687325
2017-11-14,69.52,41.68,21.86070908999009,61.499290910009904
2017-11-15,69.43,41.68,21.82417580385159,61.53582419614841
2017-11-16,70.75,41.68,21.78770961299066,61.57229038700934
2017-11-17,71.02,41.68,21.751310149087683,61.60868985091231
2017-11-20,71.95,41.68,21.71497704718056,61.64502295281944
2017-11-21,72.85,41.68,21.678709945622046,61.68129005437795
2017-11-22,72.6,41.68,21.642508486037734,61.717491513962266
2017-11-24,72.93,41.68,21.606372313284744,61.753627686715255
2017-11-27,72.07,41.68,21.57030107541108,61.78969892458892
2017-11-28,71.98,41.68,21.534294423615638,61.825705576384365
2017-11-29,70.36,41.68,21.498352012208827,61.86164798779117
2017-11-30,70.06,41.68,21.462473498573893,61.89752650142611
2017-12-01,70.1,41.68,21.42665854312878,61.93334145687122
2017-12-04,68.31,41.68,21.390906809288648,61.96909319071135
2017-12-05,68.13,41.68,21.355217963428952,62.004782036571044
2017-12-06,69.41,41.68,21.319591674849136,62.040408325150864
2017-12-07,70.22,41.68,21.28402761573688,62.075972384263125
2017-12-08,71.25,41.68,21.24852546113288,62.11147453886712
2017-12-11,71.53,41.68,21.213084888896255,62.146915111103745
2017-12-12,69.77,41.68,21.177705579670402,62.1822944203296
2017-12-13,71.24,41.68,21.142387216849432,62.21761278315057
2017-12-14,69.23,41.68,21.107129486545126,62.25287051345487
2017-12-15,70.29,41.68,21.071932077554372,62.28806792244563
2017-12-18,70.14,41.68,21.03679468132713,62.32320531867287
2017-12-19,70.21,41.68,21.001716991934867,62.35828300806513
2017-12-20,70.9,41.68,20.966698706039477,62.39330129396052
2017-12-21,71.59,41.68,20.931739522862692,62.42826047713731
2017-12-22,71.58,41.68,20.896839144155923,62.46316085584408
2017-12-26,69.86,41.68,20.861997274170584,62.498002725829416
2017-12-27,70.06,41.68,20.827213619628857,62.53278638037114
2017-12-28,69.82,41.68,20.79248788969486,62.56751211030514
2017-12-29,69.85,41.68,20.757819795946332,62.60218020405367
